rank,prev_rank,name,league,off,def,spi
122,122,Malmo FF,Swedish Allsvenskan,1.61,1.04,58.85
123,123,Ludogorets,UEFA Europa League,1.65,1.08,58.74
124,124,Rapid Vienna,Austrian T-Mobile Bundesliga,1.83,1.24,58.71
125,125,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
126,126,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
127,127,Rangers,Scottish Premiership,1.62,1.08,58.25
128,128,Sporting de Charleroi,Belgian Jupiler League,1.55,1.02,58.19
129,129,Nice,French Ligue 1,1.57,1.04,58.14
130,130,São Paulo,Brasileiro Série A,1.45,0.94,58.05
131,133,Fortuna Düsseldorf,German Bundesliga,1.69,1.16,57.83
132,131,Udinese,Italy Serie A,1.53,1.02,57.78
133,132,Parma,Italy Serie A,1.57,1.07,57.47
134,134,Cagliari,Italy Serie A,1.7,1.19,57.32
135,135,Tigres UANL,Mexican Primera Division Torneo Clausura,1.54,1.05,57.21
136,148,FC Copenhagen,Danish SAS-Ligaen,1.66,1.16,57.2
137,136,Los Angeles FC,Major League Soccer,1.98,1.46,57.05
138,137,Anderlecht,Belgian Jupiler League,1.53,1.05,56.78
139,138,Red Star Belgrade,UEFA Champions League,1.92,1.43,56.48
140,139,Monterrey,Mexican Primera Division Torneo Clausura,1.59,1.13,56.38
141,140,St Gallen,Swiss Raiffeisen Super League,1.92,1.44,56.28
142,141,AEK Athens,Greek Super League,1.39,0.95,56.21
143,142,St Etienne,French Ligue 1,1.42,0.98,56.16
144,143,Atlético Paranaense,Brasileiro Série A,1.39,0.95,56.11
145,144,Apoel Nicosia,UEFA Europa League,1.55,1.11,56.09
146,145,Besiktas,Turkish Turkcell Super Lig,1.69,1.24,56.05
147,146,Internacional,Brasileiro Série A,1.5,1.06,55.9
148,147,Dijon FCO,French Ligue 1,1.43,1.01,55.76
149,149,Spartak Moscow,Russian Premier Liga,1.34,0.92,55.69
150,150,Rio Ave,Portuguese Liga,1.41,0.99,55.61
151,151,Corinthians,Brasileiro Série A,1.42,1.01,55.51
152,152,Fulham,English League Championship,1.5,1.08,55.45
153,154,Rostov,Russian Premier Liga,1.57,1.16,55.34
154,155,Nimes,French Ligue 1,1.52,1.11,55.21
155,156,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.68,1.27,55.09
156,157,Brest,French Ligue 1,1.52,1.12,55.03
157,158,Cruz Azul,Mexican Primera Division Torneo Clausura,1.64,1.23,54.92
158,153,SC Paderborn,German Bundesliga,1.59,1.2,54.8
159,159,Torino,Italy Serie A,1.56,1.19,54.27
160,160,Ferencvaros,UEFA Europa League,1.59,1.22,54.14
161,161,Amiens,French Ligue 1,1.38,1.03,54.01
162,162,Molde,Norwegian Tippeligaen,1.82,1.47,53.66
163,163,Yokohama F. Marinos,Japanese J League,1.76,1.42,53.62
164,164,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
165,165,Club América,Mexican Primera Division Torneo Clausura,1.46,1.13,53.26
166,166,Spal,Italy Serie A,1.51,1.19,53.19
167,167,Hammarby,Swedish Allsvenskan,1.89,1.56,53.14
168,168,Stoke City,English League Championship,1.39,1.07,53.01
169,169,Fenerbahce,Turkish Turkcell Super Lig,1.65,1.34,52.99
170,170,Metz,French Ligue 1,1.33,1.03,52.71
171,171,FK Partizan Belgrade,UEFA Europa League,1.51,1.21,52.7
172,172,Millwall,English League Championship,1.29,1.0,52.63
173,173,FC Arsenal Tula,Russian Premier Liga,1.33,1.03,52.62
174,174,Genk,Belgian Jupiler League,1.69,1.39,52.59
175,175,Sivasspor,Turkish Turkcell Super Lig,1.61,1.32,52.54
176,176,FC Utrecht,Dutch Eredivisie,1.55,1.26,52.48
177,177,FK Qarabag,UEFA Europa League,1.44,1.16,52.29
178,178,Brondby,Danish SAS-Ligaen,1.69,1.41,52.13
179,179,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
180,180,Atletico Mineiro,Brasileiro Série A,1.41,1.16,51.72
181,181,Cardiff City,English League Championship,1.42,1.17,51.6
182,182,Antwerp,Belgian Jupiler League,1.41,1.16,51.49
183,183,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
184,184,Kawasaki Frontale,Japanese J League,1.48,1.25,51.15
185,185,Queens Park Rangers,English League Championship,1.53,1.31,50.91
186,186,Fluminense,Brasileiro Série A,1.36,1.14,50.9
187,187,León,Mexican Primera Division Torneo Clausura,1.56,1.34,50.88
188,188,Santos Laguna,Mexican Primera Division Torneo Clausura,1.51,1.29,50.83
189,189,CFR 1907 Cluj,UEFA Europa League,1.49,1.27,50.79
190,190,FC Astana,UEFA Europa League,1.54,1.33,50.65
191,199,VfB Stuttgart,German 2. Bundesliga,1.59,1.38,50.54
192,191,Vitesse,Dutch Eredivisie,1.7,1.49,50.51
193,192,Standard Liege,Belgian Jupiler League,1.44,1.24,50.48
194,193,Vasco da Gama,Brasileiro Série A,1.35,1.16,50.06
195,194,Alanyaspor,Turkish Turkcell Super Lig,1.34,1.16,49.97
196,195,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
197,205,FC Nordsjaelland,Danish SAS-Ligaen,1.59,1.42,49.72
198,196,Servette,Swiss Raiffeisen Super League,1.47,1.3,49.57
199,197,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
200,198,Rosenborg,Norwegian Tippeligaen,1.62,1.47,49.37
201,200,Blackburn,English League Championship,1.33,1.17,49.34
202,201,Pachuca,Mexican Primera Division Torneo Clausura,1.43,1.27,49.33
203,202,Derby County,English League Championship,1.43,1.29,48.88
204,203,Djurgardens IF,Swedish Allsvenskan,1.36,1.23,48.83
205,204,Huddersfield Town,English League Championship,1.34,1.2,48.78
206,206,Dinamo Moscow,Russian Premier Liga,1.16,1.02,48.63
207,207,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
208,208,Toulouse,French Ligue 1,1.38,1.25,48.56
209,209,Sochi,Russian Premier Liga,1.35,1.22,48.55
210,210,Panathinaikos,Greek Super League,1.19,1.06,48.53
211,211,Swansea City,English League Championship,1.38,1.26,48.53
212,212,Racing Club,Argentina Primera Division,1.18,1.06,48.4
213,213,Bahía,Brasileiro Série A,1.28,1.17,48.12
214,214,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.39,1.29,48.05
215,215,Birmingham,English League Championship,1.4,1.3,48.02
216,216,Lecce,Italy Serie A,1.65,1.57,47.99
217,217,Preston North End,English League Championship,1.26,1.15,47.98
218,218,FC Ufa,Russian Premier Liga,0.94,0.82,47.85
219,219,Kashima Antlers,Japanese J League,1.27,1.19,47.56
220,220,IFK Norrkoping,Swedish Allsvenskan,1.44,1.36,47.52
221,221,Nottingham Forest,English League Championship,1.25,1.18,47.26
222,222,Brescia,Italy Serie A,1.43,1.37,47.11
223,223,Gil Vicente,Portuguese Liga,1.21,1.14,47.08
224,224,Wigan,English League Championship,1.19,1.12,47.06
225,225,FC Tambov,Russian Premier Liga,1.24,1.17,47.05
226,227,AGF Aarhus,Danish SAS-Ligaen,1.35,1.31,46.73
227,228,Toronto FC,Major League Soccer,1.5,1.47,46.71
228,229,Middlesbrough,English League Championship,1.24,1.2,46.6
229,231,Atlanta United FC,Major League Soccer,1.41,1.38,46.35
230,232,Ceará,Brasileiro Série A,1.23,1.19,46.29
231,233,Morelia,Mexican Primera Division Torneo Clausura,1.43,1.42,46.04
232,230,AaB,Danish SAS-Ligaen,1.37,1.36,46.02
233,234,Philadelphia Union,Major League Soccer,1.51,1.51,46.0
234,235,PFC Oleksandriya,UEFA Europa League,1.33,1.33,45.69
235,236,Lanus,Argentina Primera Division,1.28,1.27,45.68
236,237,Moreirense,Portuguese Liga,1.32,1.32,45.66
237,226,Hamburg SV,German 2. Bundesliga,1.42,1.43,45.57
238,238,Aris Salonika,Greek Super League,1.36,1.37,45.57
239,240,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.42,1.44,45.45
240,239,Santa Clara,Portuguese Liga,1.15,1.15,45.39
241,241,AIK,Swedish Allsvenskan,1.28,1.3,45.26
242,242,Fortaleza,Brasileiro Série A,1.27,1.29,45.02
243,243,Reading,English League Championship,1.22,1.24,44.96
244,244,Heracles,Dutch Eredivisie,1.46,1.5,44.93
245,245,Bristol City,English League Championship,1.35,1.39,44.93
246,246,New York City FC,Major League Soccer,1.42,1.46,44.86
247,247,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
248,248,Slovan Bratislava,UEFA Europa League,1.26,1.3,44.65
249,249,Willem II,Dutch Eredivisie,1.54,1.61,44.49
250,250,Guadalajara,Mexican Primera Division Torneo Clausura,1.3,1.35,44.41
251,251,Sheffield Wednesday,English League Championship,1.26,1.31,44.27
252,252,Inter Miami CF,Major League Soccer,1.35,1.42,44.25
253,253,Seattle Sounders FC,Major League Soccer,1.42,1.51,44.11
254,254,Necaxa,Mexican Primera Division Torneo Clausura,1.29,1.35,44.09
255,255,Portimonense,Portuguese Liga,1.17,1.24,43.93
256,256,Gazovik Orenburg,Russian Premier Liga,1.34,1.43,43.55
257,257,Famalicao,Portuguese Liga,1.28,1.37,43.47
258,258,Pumas Unam,Mexican Primera Division Torneo Clausura,1.33,1.43,43.43
259,259,FC Luzern,Swiss Raiffeisen Super League,1.3,1.4,43.37
260,260,Lorient,French Ligue 2,1.28,1.39,43.35
261,261,Goztepe,Turkish Turkcell Super Lig,1.16,1.24,43.31
262,262,Barnsley,English League Championship,1.23,1.33,43.14
263,278,Arminia Bielefeld,German 2. Bundesliga,1.18,1.28,43.13
264,263,Bragantino,Brasileiro Série A,1.27,1.38,43.0
265,264,Almeria,Spanish Segunda Division,1.23,1.34,42.94
266,265,Ural Sverdlovsk Oblast,Russian Premier Liga,1.27,1.4,42.88
267,266,Argentinos Juniors,Argentina Primera Division,1.0,1.08,42.87
268,267,Real Zaragoza,Spanish Segunda Division,1.16,1.27,42.82
269,268,Rubin Kazan,Russian Premier Liga,0.84,0.9,42.74
270,269,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
271,270,Querétaro,Mexican Primera Division Torneo Clausura,1.22,1.35,42.72
272,271,FC Groningen,Dutch Eredivisie,0.93,1.01,42.7
273,272,Estudiantes,Argentina Primera Division,1.0,1.1,42.6
274,273,Goiás,Brasileiro Série A,1.29,1.43,42.55
275,274,Girona FC,Spanish Segunda Division,1.18,1.3,42.53
276,275,Cerezo Osaka,Japanese J League,0.96,1.06,42.37
277,276,Heerenveen,Dutch Eredivisie,1.51,1.69,42.37
278,277,Chicago Fire,Major League Soccer,1.42,1.6,42.14
279,279,Los Angeles Galaxy,Major League Soccer,1.69,1.9,42.1
280,280,KV Mechelen,Belgian Jupiler League,1.34,1.51,42.09
281,281,KV Kortrijk,Belgian Jupiler League,1.29,1.46,42.02
282,282,Minnesota United FC,Major League Soccer,1.4,1.58,41.98
283,283,Terek Grozny,Russian Premier Liga,1.0,1.12,41.83
284,284,Boavista,Portuguese Liga,0.98,1.11,41.8
285,285,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
286,286,Pacos Ferreira,Portuguese Liga,1.11,1.27,41.5
287,287,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
288,288,Benevento,Italy Serie B,1.15,1.32,41.4
289,289,Sparta,Dutch Eredivisie,1.47,1.69,41.33
290,290,Rayo Vallecano,Spanish Segunda Division,1.09,1.25,41.32
291,291,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
292,292,Arizona United,United Soccer League,1.47,1.7,41.22
293,293,Hull City,English League Championship,1.31,1.52,41.18
294,295,Coritiba,Brasileiro Série A,1.22,1.42,41.08
295,296,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
296,297,FC Lugano,Swiss Raiffeisen Super League,1.08,1.26,40.92
297,298,FC Dallas,Major League Soccer,1.36,1.6,40.7
298,299,Sanfrecce Hiroshima,Japanese J League,1.03,1.22,40.64
299,301,Botafogo,Brasileiro Série A,1.1,1.31,40.5
300,300,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.34,1.59,40.49
301,302,Krylia Sovetov,Russian Premier Liga,1.06,1.27,40.39
302,303,Patronato,Argentina Primera Division,1.2,1.43,40.35
303,304,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
304,305,Mouscron-Peruwelz,Belgian Jupiler League,1.19,1.42,40.27
305,306,Tijuana,Mexican Primera Division Torneo Clausura,1.17,1.39,40.27
306,307,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.22,1.46,40.23
307,309,Sport Recife,Brasileiro Série A,1.19,1.43,40.01
308,294,Randers FC,Danish SAS-Ligaen,1.19,1.44,39.88
309,310,Lens,French Ligue 2,1.02,1.23,39.84
310,311,Perth Glory,Australian A-League,1.29,1.57,39.67
311,312,Banfield,Argentina Primera Division,0.98,1.2,39.66
312,313,Guingamp,French Ligue 2,1.19,1.46,39.62
313,315,Gamba Osaka,Japanese J League,1.33,1.62,39.58
314,308,Odense BK,Danish SAS-Ligaen,1.07,1.32,39.46
315,316,Vissel Kobe,Japanese J League,1.6,1.94,39.43
316,317,FC Tokyo,Japanese J League,0.98,1.21,39.39
317,318,Atlético San Luis,Mexican Primera Division Torneo Clausura,1.15,1.41,39.37
318,319,New York Red Bulls,Major League Soccer,1.39,1.71,39.26
319,320,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
320,321,Sporting Kansas City,Major League Soccer,1.4,1.73,39.15
321,322,Tondela,Portuguese Liga,1.06,1.32,39.15
322,323,FC Juárez,Mexican Primera Division Torneo Clausura,1.24,1.54,39.0
323,324,Atlético Goianiense,Brasileiro Série A,1.16,1.45,38.9
324,325,Troyes,French Ligue 2,1.0,1.26,38.84
325,326,Columbus Crew,Major League Soccer,1.14,1.43,38.75
326,327,Belenenses,Portuguese Liga,1.05,1.33,38.7
327,328,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
328,329,Cadiz,Spanish Segunda Division,0.98,1.25,38.64
329,330,Vitoria Setubal,Portuguese Liga,0.94,1.2,38.62
330,331,Henan Jianye,Chinese Super League,1.25,1.57,38.55
331,332,Elche,Spanish Segunda Division,1.12,1.42,38.5
332,333,Atlas,Mexican Primera Division Torneo Clausura,1.12,1.43,38.4
333,334,Maritimo,Portuguese Liga,0.98,1.26,38.24
334,335,Sydney FC,Australian A-League,1.23,1.57,38.22
335,336,Portland Timbers,Major League Soccer,1.38,1.75,38.16
336,337,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
337,338,Real Salt Lake,Major League Soccer,1.01,1.31,38.12
338,339,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
339,340,BK Hacken,Swedish Allsvenskan,1.12,1.44,38.08
340,341,Toluca,Mexican Primera Division Torneo Clausura,1.21,1.55,38.03
341,342,Huracán,Argentina Primera Division,0.95,1.24,37.93
342,314,Hannover 96,German 2. Bundesliga,1.2,1.55,37.88
343,343,New England Revolution,Major League Soccer,1.36,1.74,37.85
344,364,SV Sandhausen,German 2. Bundesliga,1.21,1.57,37.72
345,344,Puebla,Mexican Primera Division Torneo Clausura,1.0,1.32,37.71
346,345,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.25,1.61,37.71
347,346,Clermont Foot,French Ligue 2,1.01,1.32,37.68
348,347,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
349,348,Atromitos,Greek Super League,0.98,1.29,37.47
350,349,San Jose Earthquakes,Major League Soccer,1.38,1.79,37.45
351,350,PEC Zwolle,Dutch Eredivisie,1.35,1.75,37.41
352,351,St. Truidense,Belgian Jupiler League,1.2,1.57,37.34
353,352,Colorado Rapids,Major League Soccer,1.34,1.75,37.32
354,353,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
355,354,Kasimpasa,Turkish Turkcell Super Lig,1.37,1.79,37.14
356,355,SV Zulte Waregem,Belgian Jupiler League,1.32,1.74,37.11
357,357,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
358,358,Charlton Athletic,English League Championship,1.11,1.5,36.6
359,359,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
360,360,Málaga,Spanish Segunda Division,0.78,1.09,36.44
361,361,Asteras Tripolis,Greek Super League,0.96,1.33,36.33
362,356,Holstein Kiel,German 2. Bundesliga,1.29,1.74,36.25
363,362,FC Twente,Dutch Eredivisie,1.22,1.66,36.17
364,363,SD Huesca,Spanish Segunda Division,1.02,1.41,36.09
365,365,Bodo/Glimt,Norwegian Tippeligaen,1.32,1.8,35.87
366,366,Peterborough United,English League One,1.23,1.69,35.85
367,367,Sporting Gijón,Spanish Segunda Division,0.85,1.21,35.82
368,368,Aberdeen,Scottish Premiership,1.09,1.52,35.81
369,369,Le Havre,French Ligue 2,0.95,1.35,35.74
370,370,IFK Goteborg,Swedish Allsvenskan,1.12,1.56,35.71
371,371,Caen,French Ligue 2,1.08,1.52,35.56
372,387,1. FC Heidenheim 1846,German 2. Bundesliga,1.04,1.47,35.47
373,372,Luton Town,English League Championship,1.09,1.55,35.31
374,373,OFI Crete,Greek Super League,1.02,1.46,35.22
375,374,Caykur Rizespor,Turkish Turkcell Super Lig,1.13,1.6,35.2
376,375,Emmen,Dutch Eredivisie,1.18,1.66,35.14
377,376,F91 Dudelange,UEFA Europa League,1.4,1.94,35.14
378,377,FC Sion,Swiss Raiffeisen Super League,1.18,1.66,35.1
379,378,AC Ajaccio,French Ligue 2,0.88,1.29,34.91
380,379,FC Zurich,Swiss Raiffeisen Super League,1.22,1.72,34.89
381,380,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
382,381,Konyaspor,Turkish Turkcell Super Lig,0.83,1.24,34.73
383,382,Melbourne City,Australian A-League,1.19,1.7,34.57
384,383,Desportivo Aves,Portuguese Liga,1.01,1.47,34.53
385,384,Genclerbirligi,Turkish Turkcell Super Lig,1.09,1.59,34.48
386,385,Hartberg,Austrian T-Mobile Bundesliga,1.44,2.05,34.11
387,386,Orlando City SC,Major League Soccer,1.17,1.71,34.11
388,409,SV Darmstadt 98,German 2. Bundesliga,1.04,1.56,33.76
389,388,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
390,389,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
391,390,DC United,Major League Soccer,1.11,1.66,33.65
392,391,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
393,392,Mirandes,Spanish Segunda Division,1.09,1.64,33.56
394,393,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
395,394,Denizlispor,Turkish Turkcell Super Lig,0.96,1.48,33.38
396,395,Consadole Sapporo,Japanese J League,1.15,1.72,33.38
397,396,Tenerife,Spanish Segunda Division,0.91,1.4,33.38
398,397,Houston Dynamo,Major League Soccer,1.16,1.74,33.25
399,398,Antalyaspor,Turkish Turkcell Super Lig,1.07,1.62,33.25
400,403,1. FC Nürnberg,German 2. Bundesliga,1.01,1.55,33.23
401,399,Neuchatel Xamax,Swiss Raiffeisen Super League,1.09,1.65,33.21
402,401,Larissa,Greek Super League,0.83,1.32,33.12
403,400,SpVgg Greuther Fürth,German 2. Bundesliga,1.11,1.68,33.12
404,402,Oxford United,English League One,1.07,1.64,33.11
405,404,Crotone,Italy Serie B,1.04,1.6,32.92
406,405,Viking FK,Norwegian Tippeligaen,1.19,1.8,32.76
407,406,ADO Den Haag,Dutch Eredivisie,1.21,1.83,32.74
408,407,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
409,408,Jahn Regensburg,German 2. Bundesliga,1.15,1.78,32.35
410,410,Montreal Impact,Major League Soccer,1.14,1.79,31.91
411,411,Real Oviedo,Spanish Segunda Division,0.94,1.53,31.85
412,412,Sunderland,English League One,0.9,1.47,31.75
413,413,Thun,Swiss Raiffeisen Super League,1.18,1.86,31.56
414,415,SD Ponferradina,Spanish Segunda Division,0.86,1.43,31.49
415,416,Cercle Brugge,Belgian Jupiler League,1.05,1.7,31.46
416,417,Frosinone,Italy Serie B,0.87,1.45,31.41
417,418,Livingston,Scottish Premiership,1.01,1.66,31.15
418,419,SV Mattersburg,Austrian T-Mobile Bundesliga,1.1,1.78,31.11
